close_time,open_time,ticker,interval,open,high,low,close,vol
2024-02-13 00:01:00,2024-02-13 00:00:00,BTC-USDT,1min,49964.1,49964.1,49933.7,49942.1,6240
2024-02-13 00:02:00,2024-02-13 00:01:00,BTC-USDT,1min,49944.7,49956.9,49944.7,49956.8,4856
2024-02-13 00:03:00,2024-02-13 00:02:00,BTC-USDT,1min,49956.9,49958.5,49951.5,49956.3,10824
2024-02-13 00:04:00,2024-02-13 00:03:00,BTC-USDT,1min,49961.9,49961.9,49961.8,49961.9,42
2024-02-13 00:05:00,2024-02-13 00:04:00,BTC-USDT,1min,49967.8,50000.8,49967.8,50000.8,3184
2024-02-13 00:06:00,2024-02-13 00:05:00,BTC-USDT,1min,50000.9,50003.7,49996.3,49996.3,6116
2024-02-13 00:07:00,2024-02-13 00:06:00,BTC-USDT,1min,49996.4,50036.0,49971.8,50036.0,7204
2024-02-13 00:08:00,2024-02-13 00:07:00,BTC-USDT,1min,50039.5,50072.4,49995.5,50004.3,14498
2024-02-13 00:09:00,2024-02-13 00:08:00,BTC-USDT,1min,50004.3,50015.2,49996.0,49996.1,5344
2024-02-13 00:10:00,2024-02-13 00:09:00,BTC-USDT,1min,49996.2,49996.2,49951.5,49967.0,9482
2024-02-13 00:11:00,2024-02-13 00:10:00,BTC-USDT,1min,49966.9,50005.5,49966.9,50005.5,1198
2024-02-13 00:12:00,2024-02-13 00:11:00,BTC-USDT,1min,50005.5,50011.4,50000.4,50011.4,1378
2024-02-13 00:13:00,2024-02-13 00:12:00,BTC-USDT,1min,50011.4,50011.4,50000.6,50000.6,5748
2024-02-13 00:14:00,2024-02-13 00:13:00,BTC-USDT,1min,50000.6,50022.6,49985.5,49985.5,5268
2024-02-13 00:15:00,2024-02-13 00:14:00,BTC-USDT,1min,49985.6,49985.6,49977.7,49983.7,884
2024-02-13 00:16:00,2024-02-13 00:15:00,BTC-USDT,1min,49985.6,50006.6,49985.5,50006.6,1436
2024-02-13 00:17:00,2024-02-13 00:16:00,BTC-USDT,1min,50014.2,50014.3,50014.2,50014.2,544
2024-02-13 00:18:00,2024-02-13 00:17:00,BTC-USDT,1min,50014.3,50021.1,50008.0,50008.0,2300
2024-02-13 00:19:00,2024-02-13 00:18:00,BTC-USDT,1min,50013.9,50066.9,50013.9,50056.4,6548
2024-02-13 00:20:00,2024-02-13 00:19:00,BTC-USDT,1min,50048.7,50073.1,50045.8,50055.6,2098
2024-02-13 00:21:00,2024-02-13 00:20:00,BTC-USDT,1min,50055.7,50055.7,49995.8,49995.8,5128
2024-02-13 00:22:00,2024-02-13 00:21:00,BTC-USDT,1min,49991.0,50003.3,49989.4,50003.2,726
2024-02-13 00:23:00,2024-02-13 00:22:00,BTC-USDT,1min,50000.2,50005.0,50000.2,50005.0,2686
2024-02-13 00:24:00,2024-02-13 00:23:00,BTC-USDT,1min,49991.0,49997.7,49974.8,49975.0,1544
2024-02-13 00:25:00,2024-02-13 00:24:00,BTC-USDT,1min,49992.3,50024.6,49992.3,50024.5,1376
2024-02-13 00:26:00,2024-02-13 00:25:00,BTC-USDT,1min,50020.0,50024.5,50012.8,50012.8,478
2024-02-13 00:27:00,2024-02-13 00:26:00,BTC-USDT,1min,50016.4,50067.0,50016.4,50067.0,4800
2024-02-13 00:28:00,2024-02-13 00:27:00,BTC-USDT,1min,50072.9,50083.4,50060.5,50078.8,2422
2024-02-13 00:29:00,2024-02-13 00:28:00,BTC-USDT,1min,50083.4,50170.1,50083.4,50170.0,29326
2024-02-13 00:30:00,2024-02-13 00:29:00,BTC-USDT,1min,50170.1,50175.6,50122.5,50122.5,13458
2024-02-13 00:31:00,2024-02-13 00:30:00,BTC-USDT,1min,50131.3,50149.0,50131.3,50149.0,2594
2024-02-13 00:32:00,2024-02-13 00:31:00,BTC-USDT,1min,50144.1,50164.5,50144.1,50148.7,14970
2024-02-13 00:33:00,2024-02-13 00:32:00,BTC-USDT,1min,50148.7,50169.6,50148.7,50155.1,1744
2024-02-13 00:34:00,2024-02-13 00:33:00,BTC-USDT,1min,50155.1,50155.1,50078.9,50078.9,10368
2024-02-13 00:35:00,2024-02-13 00:34:00,BTC-USDT,1min,50072.7,50080.8,50054.0,50054.0,9372
2024-02-13 00:36:00,2024-02-13 00:35:00,BTC-USDT,1min,50054.1,50064.8,50054.1,50064.8,1304
2024-02-13 00:37:00,2024-02-13 00:36:00,BTC-USDT,1min,50064.7,50064.7,50053.5,50053.5,314
2024-02-13 00:38:00,2024-02-13 00:37:00,BTC-USDT,1min,50053.6,50059.4,50053.5,50059.3,2908
2024-02-13 00:39:00,2024-02-13 00:38:00,BTC-USDT,1min,50059.4,50064.8,50043.0,50064.8,2460
2024-02-13 00:40:00,2024-02-13 00:39:00,BTC-USDT,1min,50064.5,50097.9,50055.0,50097.9,7912
2024-02-13 00:41:00,2024-02-13 00:40:00,BTC-USDT,1min,50097.9,50097.9,50061.9,50066.0,7030
2024-02-13 00:42:00,2024-02-13 00:41:00,BTC-USDT,1min,50065.9,50066.0,50057.5,50057.6,2890
2024-02-13 00:43:00,2024-02-13 00:42:00,BTC-USDT,1min,50057.6,50057.6,50057.5,50057.6,652
2024-02-13 00:44:00,2024-02-13 00:43:00,BTC-USDT,1min,50057.6,50057.6,50057.5,50057.5,1524
2024-02-13 00:45:00,2024-02-13 00:44:00,BTC-USDT,1min,50061.8,50112.3,50061.8,50078.7,3652
2024-02-13 00:46:00,2024-02-13 00:45:00,BTC-USDT,1min,50080.0,50169.1,50080.0,50163.7,3624
2024-02-13 00:47:00,2024-02-13 00:46:00,BTC-USDT,1min,50157.2,50157.2,50127.0,50127.0,3666
2024-02-13 00:48:00,2024-02-13 00:47:00,BTC-USDT,1min,50127.1,50150.0,50127.0,50150.0,3072
2024-02-13 00:49:00,2024-02-13 00:48:00,BTC-USDT,1min,50155.0,50155.1,50139.8,50155.1,1258
2024-02-13 00:50:00,2024-02-13 00:49:00,BTC-USDT,1min,50155.1,50155.2,50147.6,50147.7,3294
2024-02-13 00:51:00,2024-02-13 00:50:00,BTC-USDT,1min,50147.6,50147.7,50147.6,50147.6,1748
2024-02-13 00:52:00,2024-02-13 00:51:00,BTC-USDT,1min,50147.7,50147.7,50141.1,50141.1,1974
2024-02-13 00:53:00,2024-02-13 00:52:00,BTC-USDT,1min,50146.7,50146.7,50141.0,50141.0,254
2024-02-13 00:54:00,2024-02-13 00:53:00,BTC-USDT,1min,50141.0,50148.0,50141.0,50148.0,2218
2024-02-13 00:55:00,2024-02-13 00:54:00,BTC-USDT,1min,50148.0,50148.0,50116.0,50116.0,5084
2024-02-13 00:56:00,2024-02-13 00:55:00,BTC-USDT,1min,50121.8,50121.8,50096.1,50101.1,2660
2024-02-13 00:57:00,2024-02-13 00:56:00,BTC-USDT,1min,50101.1,50101.1,50092.1,50093.1,1130
2024-02-13 00:58:00,2024-02-13 00:57:00,BTC-USDT,1min,50093.1,50108.1,50093.1,50108.0,1576
2024-02-13 00:59:00,2024-02-13 00:58:00,BTC-USDT,1min,50108.0,50119.9,50108.0,50119.9,1202
2024-02-13 01:00:00,2024-02-13 00:59:00,BTC-USDT,1min,50119.9,50140.6,50110.4,50140.6,2652
2024-02-13 01:01:00,2024-02-13 01:00:00,BTC-USDT,1min,50140.5,50148.5,50134.3,50148.5,2226
2024-02-13 01:02:00,2024-02-13 01:01:00,BTC-USDT,1min,50152.0,50188.1,50152.0,50188.1,5654
2024-02-13 01:03:00,2024-02-13 01:02:00,BTC-USDT,1min,50188.0,50214.1,50176.6,50214.1,6060
2024-02-13 01:04:00,2024-02-13 01:03:00,BTC-USDT,1min,50214.1,50248.9,50214.1,50236.1,20890
2024-02-13 01:05:00,2024-02-13 01:04:00,BTC-USDT,1min,50236.1,50237.8,50205.9,50213.3,20538
2024-02-13 01:06:00,2024-02-13 01:05:00,BTC-USDT,1min,50213.3,50213.3,50189.0,50198.5,3750
2024-02-13 01:07:00,2024-02-13 01:06:00,BTC-USDT,1min,50198.5,50218.2,50190.9,50218.1,2680
2024-02-13 01:08:00,2024-02-13 01:07:00,BTC-USDT,1min,50218.1,50218.1,50211.4,50211.4,3842
2024-02-13 01:09:00,2024-02-13 01:08:00,BTC-USDT,1min,50207.7,50207.7,50173.1,50173.2,3250
2024-02-13 01:10:00,2024-02-13 01:09:00,BTC-USDT,1min,50173.1,50184.1,50173.1,50184.0,4016
2024-02-13 01:11:00,2024-02-13 01:10:00,BTC-USDT,1min,50184.0,50202.7,50184.0,50190.0,2072
2024-02-13 01:12:00,2024-02-13 01:11:00,BTC-USDT,1min,50187.9,50187.9,50178.9,50183.0,12666
2024-02-13 01:13:00,2024-02-13 01:12:00,BTC-USDT,1min,50183.0,50196.3,50183.0,50196.3,13326
2024-02-13 01:14:00,2024-02-13 01:13:00,BTC-USDT,1min,50196.2,50196.3,50191.9,50191.9,3164
2024-02-13 01:15:00,2024-02-13 01:14:00,BTC-USDT,1min,50196.2,50196.2,50136.5,50136.6,4268
2024-02-13 01:16:00,2024-02-13 01:15:00,BTC-USDT,1min,50151.0,50156.1,50145.9,50156.0,3536
2024-02-13 01:17:00,2024-02-13 01:16:00,BTC-USDT,1min,50156.1,50156.1,50120.5,50125.9,2662
2024-02-13 01:18:00,2024-02-13 01:17:00,BTC-USDT,1min,50126.0,50126.0,50087.9,50088.7,6118
2024-02-13 01:19:00,2024-02-13 01:18:00,BTC-USDT,1min,50088.7,50098.5,50088.7,50098.5,9546
2024-02-13 01:20:00,2024-02-13 01:19:00,BTC-USDT,1min,50098.5,50135.6,50098.5,50111.6,6330
