close_time,open_time,ticker,interval,open,high,low,close,vol
2024-01-01 00:01:00,2024-01-01 00:00:00,BTC-USDT,1min,42372.4,42396.2,42372.4,42396.2,16642
2024-01-01 00:02:00,2024-01-01 00:01:00,BTC-USDT,1min,42391.2,42400.0,42391.1,42393.2,3000
2024-01-01 00:03:00,2024-01-01 00:02:00,BTC-USDT,1min,42399.9,42440.2,42399.9,42440.2,4766
2024-01-01 00:04:00,2024-01-01 00:03:00,BTC-USDT,1min,42440.6,42467.3,42440.6,42464.1,27302
2024-01-01 00:05:00,2024-01-01 00:04:00,BTC-USDT,1min,42468.0,42471.7,42456.4,42471.7,9920
2024-01-01 00:06:00,2024-01-01 00:05:00,BTC-USDT,1min,42477.4,42494.5,42472.8,42494.5,10608
2024-01-01 00:07:00,2024-01-01 00:06:00,BTC-USDT,1min,42494.4,42502.3,42486.0,42486.0,7012
2024-01-01 00:08:00,2024-01-01 00:07:00,BTC-USDT,1min,42482.7,42487.4,42472.6,42487.3,4156
2024-01-01 00:09:00,2024-01-01 00:08:00,BTC-USDT,1min,42487.3,42487.4,42472.9,42480.9,3322
2024-01-01 00:10:00,2024-01-01 00:09:00,BTC-USDT,1min,42477.3,42501.1,42477.3,42501.1,8192
2024-01-01 00:11:00,2024-01-01 00:10:00,BTC-USDT,1min,42501.1,42544.9,42501.1,42544.8,6824
2024-01-01 00:12:00,2024-01-01 00:11:00,BTC-USDT,1min,42541.8,42541.8,42527.6,42529.1,6756
2024-01-01 00:13:00,2024-01-01 00:12:00,BTC-USDT,1min,42524.3,42547.9,42524.3,42547.8,4290
2024-01-01 00:14:00,2024-01-01 00:13:00,BTC-USDT,1min,42544.4,42563.4,42536.8,42558.5,5006
2024-01-01 00:15:00,2024-01-01 00:14:00,BTC-USDT,1min,42558.4,42582.5,42550.0,42572.2,20700
2024-01-01 00:16:00,2024-01-01 00:15:00,BTC-USDT,1min,42572.3,42618.3,42572.3,42617.2,6340
2024-01-01 00:17:00,2024-01-01 00:16:00,BTC-USDT,1min,42610.2,42610.2,42575.8,42575.8,11076
2024-01-01 00:18:00,2024-01-01 00:17:00,BTC-USDT,1min,42575.8,42575.8,42542.8,42549.7,5922
2024-01-01 00:19:00,2024-01-01 00:18:00,BTC-USDT,1min,42542.1,42542.1,42530.0,42530.0,4396
2024-01-01 00:20:00,2024-01-01 00:19:00,BTC-USDT,1min,42530.0,42533.8,42530.0,42533.7,6736
2024-01-01 00:21:00,2024-01-01 00:20:00,BTC-USDT,1min,42528.5,42528.5,42521.5,42521.6,1494
2024-01-01 00:22:00,2024-01-01 00:21:00,BTC-USDT,1min,42521.5,42525.2,42521.5,42525.1,4464
2024-01-01 00:23:00,2024-01-01 00:22:00,BTC-USDT,1min,42535.8,42547.8,42535.8,42541.9,1802
2024-01-01 00:24:00,2024-01-01 00:23:00,BTC-USDT,1min,42541.9,42565.2,42541.9,42556.0,7894
2024-01-01 00:25:00,2024-01-01 00:24:00,BTC-USDT,1min,42547.0,42567.2,42535.2,42567.2,2682
2024-01-01 00:26:00,2024-01-01 00:25:00,BTC-USDT,1min,42573.6,42573.6,42545.1,42545.1,2706
2024-01-01 00:27:00,2024-01-01 00:26:00,BTC-USDT,1min,42543.0,42548.6,42504.2,42516.1,4470
2024-01-01 00:28:00,2024-01-01 00:27:00,BTC-USDT,1min,42512.0,42512.0,42480.1,42489.8,37082
2024-01-01 00:29:00,2024-01-01 00:28:00,BTC-USDT,1min,42489.8,42489.8,42460.5,42486.5,44598
2024-01-01 00:30:00,2024-01-01 00:29:00,BTC-USDT,1min,42478.6,42478.6,42464.4,42464.5,7030
2024-01-01 00:31:00,2024-01-01 00:30:00,BTC-USDT,1min,42456.6,42456.6,42443.6,42443.6,7734
2024-01-01 00:32:00,2024-01-01 00:31:00,BTC-USDT,1min,42443.7,42463.9,42443.6,42443.6,4828
2024-01-01 00:33:00,2024-01-01 00:32:00,BTC-USDT,1min,42434.5,42437.5,42433.6,42434.0,4150
2024-01-01 00:34:00,2024-01-01 00:33:00,BTC-USDT,1min,42437.1,42437.1,42420.0,42425.0,1852
2024-01-01 00:35:00,2024-01-01 00:34:00,BTC-USDT,1min,42425.1,42425.1,42418.9,42419.0,5184
2024-01-01 00:36:00,2024-01-01 00:35:00,BTC-USDT,1min,42419.0,42438.0,42418.6,42437.9,3350
2024-01-01 00:37:00,2024-01-01 00:36:00,BTC-USDT,1min,42443.1,42467.8,42443.1,42467.8,2730
2024-01-01 00:38:00,2024-01-01 00:37:00,BTC-USDT,1min,42472.5,42472.5,42469.2,42469.2,1408
2024-01-01 00:39:00,2024-01-01 00:38:00,BTC-USDT,1min,42465.4,42498.0,42465.4,42498.0,5860
2024-01-01 00:40:00,2024-01-01 00:39:00,BTC-USDT,1min,42503.3,42503.3,42493.3,42493.4,3628
2024-01-01 00:41:00,2024-01-01 00:40:00,BTC-USDT,1min,42498.1,42498.1,42478.2,42478.3,1750
2024-01-01 00:42:00,2024-01-01 00:41:00,BTC-USDT,1min,42478.3,42478.3,42473.4,42473.4,1094
2024-01-01 00:43:00,2024-01-01 00:42:00,BTC-USDT,1min,42477.8,42487.4,42473.3,42473.4,4492
2024-01-01 00:44:00,2024-01-01 00:43:00,BTC-USDT,1min,42473.3,42498.1,42459.5,42498.1,8910
2024-01-01 00:45:00,2024-01-01 00:44:00,BTC-USDT,1min,42498.1,42509.3,42498.1,42509.3,544
2024-01-01 00:46:00,2024-01-01 00:45:00,BTC-USDT,1min,42509.7,42517.5,42509.7,42517.5,4790
2024-01-01 00:47:00,2024-01-01 00:46:00,BTC-USDT,1min,42517.4,42517.4,42498.3,42498.3,3926
2024-01-01 00:48:00,2024-01-01 00:47:00,BTC-USDT,1min,42498.4,42498.4,42498.4,42498.4,400
2024-01-01 00:49:00,2024-01-01 00:48:00,BTC-USDT,1min,42490.2,42490.2,42471.1,42471.1,994
2024-01-01 00:50:00,2024-01-01 00:49:00,BTC-USDT,1min,42471.2,42482.9,42471.2,42482.9,4394
2024-01-01 00:51:00,2024-01-01 00:50:00,BTC-USDT,1min,42493.1,42493.1,42489.2,42489.2,1422
2024-01-01 00:52:00,2024-01-01 00:51:00,BTC-USDT,1min,42492.6,42494.5,42492.6,42494.5,702
2024-01-01 00:53:00,2024-01-01 00:52:00,BTC-USDT,1min,42494.4,42494.5,42494.4,42494.4,176
2024-01-01 00:54:00,2024-01-01 00:53:00,BTC-USDT,1min,42494.5,42506.8,42494.5,42506.8,170
2024-01-01 00:55:00,2024-01-01 00:54:00,BTC-USDT,1min,42511.4,42511.4,42507.4,42509.8,2714
2024-01-01 00:56:00,2024-01-01 00:55:00,BTC-USDT,1min,42523.2,42534.0,42523.2,42534.0,546
2024-01-01 00:57:00,2024-01-01 00:56:00,BTC-USDT,1min,42534.0,42540.0,42532.0,42540.0,2782
2024-01-01 00:58:00,2024-01-01 00:57:00,BTC-USDT,1min,42539.9,42539.9,42534.5,42538.5,722
2024-01-01 00:59:00,2024-01-01 00:58:00,BTC-USDT,1min,42539.8,42539.8,42530.0,42530.0,2052
2024-01-01 01:00:00,2024-01-01 00:59:00,BTC-USDT,1min,42530.0,42530.0,42508.0,42508.0,44
2024-01-01 01:01:00,2024-01-01 01:00:00,BTC-USDT,1min,42508.1,42508.1,42497.4,42497.4,264
2024-01-01 01:02:00,2024-01-01 01:01:00,BTC-USDT,1min,42497.4,42505.4,42491.7,42505.4,7338
2024-01-01 01:03:00,2024-01-01 01:02:00,BTC-USDT,1min,42511.0,42516.0,42492.6,42496.4,1804
2024-01-01 01:04:00,2024-01-01 01:03:00,BTC-USDT,1min,42495.0,42495.0,42485.7,42485.8,6758
2024-01-01 01:05:00,2024-01-01 01:04:00,BTC-USDT,1min,42481.1,42485.7,42481.1,42485.7,1672
2024-01-01 01:06:00,2024-01-01 01:05:00,BTC-USDT,1min,42492.0,42505.0,42485.7,42505.0,3818
2024-01-01 01:07:00,2024-01-01 01:06:00,BTC-USDT,1min,42504.9,42504.9,42492.5,42492.6,2076
2024-01-01 01:08:00,2024-01-01 01:07:00,BTC-USDT,1min,42497.9,42497.9,42497.9,42497.9,12
2024-01-01 01:09:00,2024-01-01 01:08:00,BTC-USDT,1min,42495.8,42495.8,42483.1,42483.1,1434
2024-01-01 01:10:00,2024-01-01 01:09:00,BTC-USDT,1min,42483.1,42500.0,42483.0,42499.9,3164
2024-01-01 01:11:00,2024-01-01 01:10:00,BTC-USDT,1min,42499.9,42499.9,42499.9,42499.9,0
2024-01-01 01:12:00,2024-01-01 01:11:00,BTC-USDT,1min,42495.2,42495.3,42495.2,42495.3,602
2024-01-01 01:13:00,2024-01-01 01:12:00,BTC-USDT,1min,42495.2,42516.5,42495.2,42516.5,12914
2024-01-01 01:14:00,2024-01-01 01:13:00,BTC-USDT,1min,42516.5,42516.5,42512.6,42512.6,3714
2024-01-01 01:15:00,2024-01-01 01:14:00,BTC-USDT,1min,42512.7,42516.7,42512.7,42516.7,1102
2024-01-01 01:16:00,2024-01-01 01:15:00,BTC-USDT,1min,42516.9,42531.6,42516.9,42531.6,1932
2024-01-01 01:17:00,2024-01-01 01:16:00,BTC-USDT,1min,42535.8,42535.8,42535.7,42535.7,974
2024-01-01 01:18:00,2024-01-01 01:17:00,BTC-USDT,1min,42535.7,42535.8,42535.7,42535.8,604
2024-01-01 01:19:00,2024-01-01 01:18:00,BTC-USDT,1min,42535.7,42539.9,42527.0,42539.8,5832
2024-01-01 01:20:00,2024-01-01 01:19:00,BTC-USDT,1min,42539.9,42541.4,42539.8,42541.4,1706
2024-01-01 01:21:00,2024-01-01 01:20:00,BTC-USDT,1min,42541.4,42556.2,42541.4,42546.9,12886
2024-01-01 01:22:00,2024-01-01 01:21:00,BTC-USDT,1min,42546.9,42547.0,42546.9,42546.9,2572
2024-01-01 01:23:00,2024-01-01 01:22:00,BTC-USDT,1min,42546.9,42546.9,42536.4,42536.4,1068
2024-01-01 01:24:00,2024-01-01 01:23:00,BTC-USDT,1min,42528.9,42528.9,42528.0,42528.0,750
2024-01-01 01:25:00,2024-01-01 01:24:00,BTC-USDT,1min,42528.0,42528.3,42528.0,42528.3,5512
2024-01-01 01:26:00,2024-01-01 01:25:00,BTC-USDT,1min,42528.2,42551.0,42521.7,42551.0,33610
2024-01-01 01:27:00,2024-01-01 01:26:00,BTC-USDT,1min,42552.3,42552.4,42552.3,42552.4,1186
2024-01-01 01:28:00,2024-01-01 01:27:00,BTC-USDT,1min,42552.3,42552.3,42551.8,42551.8,3298
2024-01-01 01:29:00,2024-01-01 01:28:00,BTC-USDT,1min,42551.7,42551.7,42538.0,42538.0,262
2024-01-01 01:30:00,2024-01-01 01:29:00,BTC-USDT,1min,42538.1,42544.5,42538.1,42544.5,13750
2024-01-01 01:31:00,2024-01-01 01:30:00,BTC-USDT,1min,42544.5,42558.0,42544.4,42558.0,3226
2024-01-01 01:32:00,2024-01-01 01:31:00,BTC-USDT,1min,42560.7,42590.0,42560.7,42590.0,2168
2024-01-01 01:33:00,2024-01-01 01:32:00,BTC-USDT,1min,42590.0,42605.7,42589.9,42605.7,8218
2024-01-01 01:34:00,2024-01-01 01:33:00,BTC-USDT,1min,42605.6,42613.3,42605.6,42607.2,9606
2024-01-01 01:35:00,2024-01-01 01:34:00,BTC-USDT,1min,42604.2,42658.0,42604.2,42658.0,8812
2024-01-01 01:36:00,2024-01-01 01:35:00,BTC-USDT,1min,42658.0,42722.1,42658.0,42709.1,16248
2024-01-01 01:37:00,2024-01-01 01:36:00,BTC-USDT,1min,42709.1,42775.1,42709.1,42757.6,22532
2024-01-01 01:38:00,2024-01-01 01:37:00,BTC-USDT,1min,42757.7,42810.0,42730.9,42802.2,54110
2024-01-01 01:39:00,2024-01-01 01:38:00,BTC-USDT,1min,42810.1,42810.1,42758.8,42760.7,16064
2024-01-01 01:40:00,2024-01-01 01:39:00,BTC-USDT,1min,42760.7,42768.9,42746.2,42751.9,15902
2024-01-01 01:41:00,2024-01-01 01:40:00,BTC-USDT,1min,42745.6,42792.5,42721.0,42775.1,16646
2024-01-01 01:42:00,2024-01-01 01:41:00,BTC-USDT,1min,42776.6,42776.6,42759.3,42759.3,6564
2024-01-01 01:43:00,2024-01-01 01:42:00,BTC-USDT,1min,42760.0,42760.0,42745.5,42745.5,13420
2024-01-01 01:44:00,2024-01-01 01:43:00,BTC-USDT,1min,42751.4,42751.4,42740.0,42740.0,494
2024-01-01 01:45:00,2024-01-01 01:44:00,BTC-USDT,1min,42739.1,42750.4,42739.1,42748.0,1838
2024-01-01 01:46:00,2024-01-01 01:45:00,BTC-USDT,1min,42735.0,42743.6,42735.0,42743.6,2518
2024-01-01 01:47:00,2024-01-01 01:46:00,BTC-USDT,1min,42747.0,42747.0,42712.1,42712.1,2212
2024-01-01 01:48:00,2024-01-01 01:47:00,BTC-USDT,1min,42711.5,42735.9,42700.0,42721.1,11498
2024-01-01 01:49:00,2024-01-01 01:48:00,BTC-USDT,1min,42718.1,42755.4,42718.1,42742.0,3766
2024-01-01 01:50:00,2024-01-01 01:49:00,BTC-USDT,1min,42747.6,42747.6,42724.7,42724.8,3268
2024-01-01 01:51:00,2024-01-01 01:50:00,BTC-USDT,1min,42724.7,42734.8,42717.5,42734.8,2566
2024-01-01 01:52:00,2024-01-01 01:51:00,BTC-USDT,1min,42734.8,42734.8,42718.5,42718.5,1646
2024-01-01 01:53:00,2024-01-01 01:52:00,BTC-USDT,1min,42710.5,42710.5,42700.6,42700.6,1884
2024-01-01 01:54:00,2024-01-01 01:53:00,BTC-USDT,1min,42707.0,42711.2,42707.0,42709.3,872
2024-01-01 01:55:00,2024-01-01 01:54:00,BTC-USDT,1min,42707.0,42707.0,42690.7,42690.8,10742
2024-01-01 01:56:00,2024-01-01 01:55:00,BTC-USDT,1min,42690.8,42697.1,42675.9,42676.9,6502
2024-01-01 01:57:00,2024-01-01 01:56:00,BTC-USDT,1min,42676.9,42676.9,42670.0,42670.1,2612
2024-01-01 01:58:00,2024-01-01 01:57:00,BTC-USDT,1min,42670.0,42672.3,42670.0,42672.3,3010
2024-01-01 01:59:00,2024-01-01 01:58:00,BTC-USDT,1min,42672.2,42672.2,42651.7,42652.7,3356
2024-01-01 02:00:00,2024-01-01 01:59:00,BTC-USDT,1min,42652.8,42677.0,42650.0,42650.0,2560
2024-01-01 02:01:00,2024-01-01 02:00:00,BTC-USDT,1min,42650.0,42650.1,42640.7,42640.8,2522
2024-01-01 02:02:00,2024-01-01 02:01:00,BTC-USDT,1min,42640.8,42640.8,42636.4,42636.4,1798
2024-01-01 02:03:00,2024-01-01 02:02:00,BTC-USDT,1min,42636.4,42636.5,42630.4,42636.4,3808
2024-01-01 02:04:00,2024-01-01 02:03:00,BTC-USDT,1min,42630.0,42630.0,42604.2,42604.2,7422
2024-01-01 02:05:00,2024-01-01 02:04:00,BTC-USDT,1min,42604.2,42613.1,42581.1,42613.1,7694
2024-01-01 02:06:00,2024-01-01 02:05:00,BTC-USDT,1min,42613.1,42613.1,42595.7,42595.7,3698
2024-01-01 02:07:00,2024-01-01 02:06:00,BTC-USDT,1min,42595.7,42609.7,42595.7,42608.7,4734
2024-01-01 02:08:00,2024-01-01 02:07:00,BTC-USDT,1min,42601.0,42611.0,42597.6,42610.2,2876
2024-01-01 02:09:00,2024-01-01 02:08:00,BTC-USDT,1min,42610.2,42610.2,42582.7,42582.7,12336
2024-01-01 02:10:00,2024-01-01 02:09:00,BTC-USDT,1min,42587.4,42587.5,42587.4,42587.5,682
2024-01-01 02:11:00,2024-01-01 02:10:00,BTC-USDT,1min,42587.5,42589.5,42587.5,42589.5,1360
2024-01-01 02:12:00,2024-01-01 02:11:00,BTC-USDT,1min,42589.5,42589.6,42589.5,42589.6,634
2024-01-01 02:13:00,2024-01-01 02:12:00,BTC-USDT,1min,42589.6,42589.6,42589.6,42589.6,382
2024-01-01 02:14:00,2024-01-01 02:13:00,BTC-USDT,1min,42589.6,42589.6,42583.1,42589.3,1400
2024-01-01 02:15:00,2024-01-01 02:14:00,BTC-USDT,1min,42589.3,42589.3,42589.3,42589.3,234
2024-01-01 02:16:00,2024-01-01 02:15:00,BTC-USDT,1min,42589.6,42589.6,42589.5,42589.5,52
2024-01-01 02:17:00,2024-01-01 02:16:00,BTC-USDT,1min,42589.6,42589.6,42570.1,42570.1,8072
2024-01-01 02:18:00,2024-01-01 02:17:00,BTC-USDT,1min,42570.6,42570.6,42570.6,42570.6,1232
2024-01-01 02:19:00,2024-01-01 02:18:00,BTC-USDT,1min,42575.3,42575.3,42575.2,42575.3,102
2024-01-01 02:20:00,2024-01-01 02:19:00,BTC-USDT,1min,42575.3,42588.9,42575.2,42588.9,3796
2024-01-01 02:21:00,2024-01-01 02:20:00,BTC-USDT,1min,42588.9,42588.9,42588.9,42588.9,1290
