close_time,open_time,ticker,interval,open,high,low,close,vol
2023-03-02 00:01:00,2023-03-02 00:00:00,BTC-USDT,1min,23627.0,23636.7,23627.0,23631.1,32070
2023-03-02 00:02:00,2023-03-02 00:01:00,BTC-USDT,1min,23631.1,23633.8,23619.5,23619.5,19798
2023-03-02 00:03:00,2023-03-02 00:02:00,BTC-USDT,1min,23619.6,23624.1,23619.0,23619.0,7852
2023-03-02 00:04:00,2023-03-02 00:03:00,BTC-USDT,1min,23619.0,23619.0,23606.2,23606.3,11114
2023-03-02 00:05:00,2023-03-02 00:04:00,BTC-USDT,1min,23606.2,23619.1,23605.3,23619.1,23554
2023-03-02 00:06:00,2023-03-02 00:05:00,BTC-USDT,1min,23618.9,23618.9,23613.2,23616.2,15494
2023-03-02 00:07:00,2023-03-02 00:06:00,BTC-USDT,1min,23616.1,23627.4,23614.6,23627.4,11238
2023-03-02 00:08:00,2023-03-02 00:07:00,BTC-USDT,1min,23627.3,23639.5,23622.6,23635.0,24674
2023-03-02 00:09:00,2023-03-02 00:08:00,BTC-USDT,1min,23634.9,23637.8,23634.9,23637.8,3616
2023-03-02 00:10:00,2023-03-02 00:09:00,BTC-USDT,1min,23637.7,23646.5,23637.7,23646.5,11754
2023-03-02 00:11:00,2023-03-02 00:10:00,BTC-USDT,1min,23646.5,23650.0,23646.4,23650.0,3456
2023-03-02 00:12:00,2023-03-02 00:11:00,BTC-USDT,1min,23650.0,23650.0,23648.8,23648.8,7164
2023-03-02 00:13:00,2023-03-02 00:12:00,BTC-USDT,1min,23648.2,23648.3,23632.0,23632.1,6010
2023-03-02 00:14:00,2023-03-02 00:13:00,BTC-USDT,1min,23632.1,23638.6,23626.1,23626.3,20084
2023-03-02 00:15:00,2023-03-02 00:14:00,BTC-USDT,1min,23623.1,23623.1,23611.5,23621.4,11914
2023-03-02 00:16:00,2023-03-02 00:15:00,BTC-USDT,1min,23621.3,23634.8,23621.3,23634.8,15974
2023-03-02 00:17:00,2023-03-02 00:16:00,BTC-USDT,1min,23634.8,23674.2,23634.8,23669.2,31778
2023-03-02 00:18:00,2023-03-02 00:17:00,BTC-USDT,1min,23669.3,23720.2,23669.2,23720.0,101242
2023-03-02 00:19:00,2023-03-02 00:18:00,BTC-USDT,1min,23720.0,23725.0,23704.8,23709.3,27876
2023-03-02 00:20:00,2023-03-02 00:19:00,BTC-USDT,1min,23709.3,23727.9,23709.3,23716.8,29078
2023-03-02 00:21:00,2023-03-02 00:20:00,BTC-USDT,1min,23718.6,23731.9,23714.7,23731.2,30150
2023-03-02 00:22:00,2023-03-02 00:21:00,BTC-USDT,1min,23731.2,23777.6,23731.2,23768.9,156896
2023-03-02 00:23:00,2023-03-02 00:22:00,BTC-USDT,1min,23768.7,23778.9,23726.1,23726.1,30032
2023-03-02 00:24:00,2023-03-02 00:23:00,BTC-USDT,1min,23726.1,23726.1,23706.6,23714.1,57204
2023-03-02 00:25:00,2023-03-02 00:24:00,BTC-USDT,1min,23711.1,23711.2,23700.9,23700.9,39938
2023-03-02 00:26:00,2023-03-02 00:25:00,BTC-USDT,1min,23700.0,23702.0,23692.3,23696.0,20326
2023-03-02 00:27:00,2023-03-02 00:26:00,BTC-USDT,1min,23696.0,23704.9,23696.0,23700.6,11998
2023-03-02 00:28:00,2023-03-02 00:27:00,BTC-USDT,1min,23700.0,23703.1,23688.0,23703.1,40948
