close_time,open_time,ticker,interval,open,high,low,close,vol
2024-03-19 00:01:00,2024-03-19 00:00:00,BTC-USDT,1min,67576.7,67700.0,67565.0,67699.9,13056
2024-03-19 00:02:00,2024-03-19 00:01:00,BTC-USDT,1min,67699.9,67699.9,67668.9,67686.0,2912
2024-03-19 00:03:00,2024-03-19 00:02:00,BTC-USDT,1min,67686.0,67765.5,67686.0,67754.3,7310
2024-03-19 00:04:00,2024-03-19 00:03:00,BTC-USDT,1min,67756.7,67851.7,67756.7,67802.6,8350
2024-03-19 00:05:00,2024-03-19 00:04:00,BTC-USDT,1min,67800.8,67829.3,67776.0,67815.8,4826
2024-03-19 00:06:00,2024-03-19 00:05:00,BTC-USDT,1min,67822.8,67839.5,67785.9,67805.0,6602
2024-03-19 00:07:00,2024-03-19 00:06:00,BTC-USDT,1min,67805.0,67872.2,67792.8,67848.4,6600
2024-03-19 00:08:00,2024-03-19 00:07:00,BTC-USDT,1min,67848.3,67848.4,67839.8,67848.4,172
2024-03-19 00:09:00,2024-03-19 00:08:00,BTC-USDT,1min,67848.4,67853.7,67839.9,67849.6,1122
2024-03-19 00:10:00,2024-03-19 00:09:00,BTC-USDT,1min,67854.1,67869.6,67825.9,67847.2,1550
2024-03-19 00:11:00,2024-03-19 00:10:00,BTC-USDT,1min,67848.0,67858.1,67799.4,67808.9,8900
2024-03-19 00:12:00,2024-03-19 00:11:00,BTC-USDT,1min,67841.6,67939.2,67841.6,67925.7,5120
2024-03-19 00:13:00,2024-03-19 00:12:00,BTC-USDT,1min,67925.7,67950.0,67892.6,67942.6,2648
2024-03-19 00:14:00,2024-03-19 00:13:00,BTC-USDT,1min,67945.1,67945.1,67908.7,67920.3,6136
2024-03-19 00:15:00,2024-03-19 00:14:00,BTC-USDT,1min,67920.4,68020.0,67920.4,68012.9,19172
2024-03-19 00:16:00,2024-03-19 00:15:00,BTC-USDT,1min,68010.0,68055.0,67984.5,68055.0,7860
2024-03-19 00:17:00,2024-03-19 00:16:00,BTC-USDT,1min,68055.0,68055.0,68017.3,68041.4,5168
2024-03-19 00:18:00,2024-03-19 00:17:00,BTC-USDT,1min,68034.4,68194.6,68034.4,68142.9,47558
2024-03-19 00:19:00,2024-03-19 00:18:00,BTC-USDT,1min,68151.7,68159.0,68091.3,68158.9,3728
2024-03-19 00:20:00,2024-03-19 00:19:00,BTC-USDT,1min,68158.9,68163.9,68091.8,68147.7,13062
2024-03-19 00:21:00,2024-03-19 00:20:00,BTC-USDT,1min,68133.1,68133.1,67917.9,67947.0,60838
2024-03-19 00:22:00,2024-03-19 00:21:00,BTC-USDT,1min,67940.0,67962.0,67879.3,67962.0,18426
2024-03-19 00:23:00,2024-03-19 00:22:00,BTC-USDT,1min,67968.5,67972.3,67818.8,67844.4,14654
2024-03-19 00:24:00,2024-03-19 00:23:00,BTC-USDT,1min,67831.3,67836.4,67756.6,67791.0,12896
2024-03-19 00:25:00,2024-03-19 00:24:00,BTC-USDT,1min,67778.1,67815.2,67705.5,67742.5,7486
2024-03-19 00:26:00,2024-03-19 00:25:00,BTC-USDT,1min,67742.5,67750.9,67684.6,67690.3,2834
2024-03-19 00:27:00,2024-03-19 00:26:00,BTC-USDT,1min,67700.6,67712.5,67662.0,67703.1,17600
2024-03-19 00:28:00,2024-03-19 00:27:00,BTC-USDT,1min,67712.5,67775.0,67712.5,67775.0,1176
2024-03-19 00:29:00,2024-03-19 00:28:00,BTC-USDT,1min,67788.0,67885.2,67788.0,67885.2,8288
2024-03-19 00:30:00,2024-03-19 00:29:00,BTC-USDT,1min,67885.2,67917.7,67847.8,67884.3,3768
2024-03-19 00:31:00,2024-03-19 00:30:00,BTC-USDT,1min,67884.4,67950.6,67884.4,67915.5,1342
2024-03-19 00:32:00,2024-03-19 00:31:00,BTC-USDT,1min,67924.4,67924.4,67841.6,67849.5,2070
2024-03-19 00:33:00,2024-03-19 00:32:00,BTC-USDT,1min,67886.0,67901.6,67849.8,67869.5,1338
2024-03-19 00:34:00,2024-03-19 00:33:00,BTC-USDT,1min,67869.4,67930.7,67854.0,67930.0,6244
2024-03-19 00:35:00,2024-03-19 00:34:00,BTC-USDT,1min,67929.9,67930.0,67868.0,67895.5,2344
2024-03-19 00:36:00,2024-03-19 00:35:00,BTC-USDT,1min,67885.1,67885.1,67786.5,67789.9,3258
2024-03-19 00:37:00,2024-03-19 00:36:00,BTC-USDT,1min,67803.3,67803.3,67678.8,67682.8,9672
2024-03-19 00:38:00,2024-03-19 00:37:00,BTC-USDT,1min,67690.0,67696.5,67608.0,67608.0,6662
2024-03-19 00:39:00,2024-03-19 00:38:00,BTC-USDT,1min,67658.6,67680.0,67558.0,67574.1,9378
2024-03-19 00:40:00,2024-03-19 00:39:00,BTC-USDT,1min,67567.4,67588.6,67466.7,67477.6,29426
2024-03-19 00:41:00,2024-03-19 00:40:00,BTC-USDT,1min,67477.7,67503.8,67435.1,67464.7,25972
2024-03-19 00:42:00,2024-03-19 00:41:00,BTC-USDT,1min,67464.0,67495.9,67409.8,67421.9,8208
