close_time,open_time,ticker,interval,open,high,low,close,vol
2023-01-07 00:01:00,2023-01-07 00:00:00,BTC-USDT,1min,16942.4,16942.5,16942.4,16942.4,8864
2023-01-07 00:02:00,2023-01-07 00:01:00,BTC-USDT,1min,16942.4,16942.5,16939.1,16939.1,4514
2023-01-07 00:03:00,2023-01-07 00:02:00,BTC-USDT,1min,16939.1,16939.1,16936.3,16936.3,10554
2023-01-07 00:04:00,2023-01-07 00:03:00,BTC-USDT,1min,16936.1,16936.1,16933.5,16933.5,4110
2023-01-07 00:05:00,2023-01-07 00:04:00,BTC-USDT,1min,16933.5,16933.6,16933.5,16933.6,1700
2023-01-07 00:06:00,2023-01-07 00:05:00,BTC-USDT,1min,16933.5,16933.6,16933.5,16933.5,624
2023-01-07 00:07:00,2023-01-07 00:06:00,BTC-USDT,1min,16933.5,16933.6,16931.0,16931.0,1906
2023-01-07 00:08:00,2023-01-07 00:07:00,BTC-USDT,1min,16930.3,16930.3,16923.2,16923.2,29612
2023-01-07 00:09:00,2023-01-07 00:08:00,BTC-USDT,1min,16921.5,16925.2,16921.4,16925.2,6930
2023-01-07 00:10:00,2023-01-07 00:09:00,BTC-USDT,1min,16925.2,16925.2,16925.1,16925.2,4786
2023-01-07 00:11:00,2023-01-07 00:10:00,BTC-USDT,1min,16925.2,16925.2,16925.2,16925.2,1576
2023-01-07 00:12:00,2023-01-07 00:11:00,BTC-USDT,1min,16925.1,16928.3,16925.1,16928.3,32268
2023-01-07 00:13:00,2023-01-07 00:12:00,BTC-USDT,1min,16928.3,16930.0,16928.3,16930.0,2518
2023-01-07 00:14:00,2023-01-07 00:13:00,BTC-USDT,1min,16930.9,16930.9,16930.8,16930.9,1934
2023-01-07 00:15:00,2023-01-07 00:14:00,BTC-USDT,1min,16930.8,16930.9,16930.8,16930.9,3326
2023-01-07 00:16:00,2023-01-07 00:15:00,BTC-USDT,1min,16930.8,16930.9,16930.8,16930.9,1454
2023-01-07 00:17:00,2023-01-07 00:16:00,BTC-USDT,1min,16930.8,16930.8,16930.8,16930.8,284
2023-01-07 00:18:00,2023-01-07 00:17:00,BTC-USDT,1min,16930.8,16930.8,16930.8,16930.8,2844
2023-01-07 00:19:00,2023-01-07 00:18:00,BTC-USDT,1min,16930.8,16930.9,16930.8,16930.8,384
2023-01-07 00:20:00,2023-01-07 00:19:00,BTC-USDT,1min,16930.8,16930.9,16930.8,16930.9,11842
2023-01-07 00:21:00,2023-01-07 00:20:00,BTC-USDT,1min,16930.8,16930.9,16930.8,16930.9,1418
2023-01-07 00:22:00,2023-01-07 00:21:00,BTC-USDT,1min,16930.8,16930.8,16930.8,16930.8,720
2023-01-07 00:23:00,2023-01-07 00:22:00,BTC-USDT,1min,16930.8,16931.8,16930.8,16931.8,25464
2023-01-07 00:24:00,2023-01-07 00:23:00,BTC-USDT,1min,16931.7,16931.7,16931.7,16931.7,178
2023-01-07 00:25:00,2023-01-07 00:24:00,BTC-USDT,1min,16931.7,16931.8,16931.7,16931.8,10580
2023-01-07 00:26:00,2023-01-07 00:25:00,BTC-USDT,1min,16931.8,16931.8,16931.7,16931.7,16512
2023-01-07 00:27:00,2023-01-07 00:26:00,BTC-USDT,1min,16931.7,16931.8,16931.7,16931.8,2986
2023-01-07 00:28:00,2023-01-07 00:27:00,BTC-USDT,1min,16931.7,16931.8,16931.7,16931.7,1170
2023-01-07 00:29:00,2023-01-07 00:28:00,BTC-USDT,1min,16931.7,16931.7,16931.7,16931.7,2840
2023-01-07 00:30:00,2023-01-07 00:29:00,BTC-USDT,1min,16931.7,16931.7,16931.7,16931.7,398
2023-01-07 00:31:00,2023-01-07 00:30:00,BTC-USDT,1min,16931.8,16931.8,16931.7,16931.7,3744
2023-01-07 00:32:00,2023-01-07 00:31:00,BTC-USDT,1min,16931.7,16931.8,16931.7,16931.8,4550
2023-01-07 00:33:00,2023-01-07 00:32:00,BTC-USDT,1min,16931.8,16931.8,16931.8,16931.8,38
2023-01-07 00:34:00,2023-01-07 00:33:00,BTC-USDT,1min,16931.7,16931.7,16931.7,16931.7,404
2023-01-07 00:35:00,2023-01-07 00:34:00,BTC-USDT,1min,16931.8,16931.8,16931.7,16931.7,424
2023-01-07 00:36:00,2023-01-07 00:35:00,BTC-USDT,1min,16931.8,16931.8,16931.8,16931.8,244
2023-01-07 00:37:00,2023-01-07 00:36:00,BTC-USDT,1min,16931.8,16931.8,16931.8,16931.8,9692
2023-01-07 00:38:00,2023-01-07 00:37:00,BTC-USDT,1min,16931.8,16931.8,16931.8,16931.8,240
2023-01-07 00:39:00,2023-01-07 00:38:00,BTC-USDT,1min,16931.8,16931.8,16931.8,16931.8,1770
2023-01-07 00:40:00,2023-01-07 00:39:00,BTC-USDT,1min,16931.8,16939.6,16931.8,16939.6,35044
2023-01-07 00:41:00,2023-01-07 00:40:00,BTC-USDT,1min,16939.5,16939.6,16939.5,16939.6,402
2023-01-07 00:42:00,2023-01-07 00:41:00,BTC-USDT,1min,16939.6,16942.3,16939.5,16942.3,22014
2023-01-07 00:43:00,2023-01-07 00:42:00,BTC-USDT,1min,16942.7,16946.6,16942.7,16946.6,7968
2023-01-07 00:44:00,2023-01-07 00:43:00,BTC-USDT,1min,16946.6,16947.4,16946.6,16947.3,4414
2023-01-07 00:45:00,2023-01-07 00:44:00,BTC-USDT,1min,16947.4,16948.7,16947.4,16948.7,14126
2023-01-07 00:46:00,2023-01-07 00:45:00,BTC-USDT,1min,16948.6,16948.7,16948.6,16948.6,566
2023-01-07 00:47:00,2023-01-07 00:46:00,BTC-USDT,1min,16948.6,16948.7,16948.6,16948.6,1754
2023-01-07 00:48:00,2023-01-07 00:47:00,BTC-USDT,1min,16948.7,16948.7,16948.6,16948.7,4978
2023-01-07 00:49:00,2023-01-07 00:48:00,BTC-USDT,1min,16948.7,16948.7,16948.6,16948.6,24358
2023-01-07 00:50:00,2023-01-07 00:49:00,BTC-USDT,1min,16948.6,16948.6,16947.3,16947.3,16392
2023-01-07 00:51:00,2023-01-07 00:50:00,BTC-USDT,1min,16947.4,16947.4,16947.4,16947.4,360
2023-01-07 00:52:00,2023-01-07 00:51:00,BTC-USDT,1min,16947.3,16947.4,16947.3,16947.4,2630
2023-01-07 00:53:00,2023-01-07 00:52:00,BTC-USDT,1min,16947.4,16948.5,16947.4,16948.5,2250
